Year	Month	Monthly_MSL
2008	2	7.142
2008	3	7.149
2008	4	7.202
2008	5	7.203
2008	6	7.129
2008	7	7.181
2008	8	7.166
2008	9	7.157
2008	10	7.112
2008	11	7.065
2008	12	7.056
2009	1	7.193
2009	2	7.117
2009	3	7.079
2009	4	7.174
2009	5	7.103
2009	6	7.188
2009	7	7.198
2009	8	7.141
2009	9	7.063
2009	10	7.147
2009	11	7.226
2009	12	7.264
2010	1	7.119
2010	2	7.119
2010	3	7.119
2010	4	7.119
2010	5	7.119
2010	6	7.12
2010	7	7.12
2010	8	7.154
2010	9	7.135
2010	10	7.17
2010	11	7.176
2010	12	7.118
2011	1	7.086
2011	2	7.137
2011	3	7.032
2011	4	7.102
2011	5	7.087
2011	6	7.124
2011	7	7.121
2011	8	7.129
2011	9	7.11
2011	10	7.08
2011	11	7.149
2011	12	7.06
