Year	Month	Monthly_MSL
1912	9	6.934
1912	10	6.988
1912	11	6.957
1912	12	7.104
1913	1	7.006
1913	2	6.981
1913	3	7.132
1913	4	7.022
1913	5	7.03
1913	6	7.006
1913	7	6.949
1913	8	6.929
1913	9	6.903
1913	10	7
1913	11	7.171
1913	12	6.963
1914	1	6.967
1914	2	7.17
1914	3	7.04
1914	4	6.991
1914	5	6.987
1914	6	6.939
1914	7	6.974
1914	8	6.957
1914	9	6.974
1914	10	6.86
1914	11	7.006
1914	12	7.143
1915	1	6.977
1915	2	6.977
1915	3	6.977
1915	4	6.978
1915	5	6.978
1915	6	6.978
1915	7	6.998
1915	8	6.948
1915	9	6.903
1915	10	6.85
1915	11	6.93
1915	12	6.973
1916	1	7.128
1916	2	6.972
1916	3	6.952
1916	4	6.991
1916	5	6.999
1916	6	6.997
1916	7	6.934
1916	8	6.975
1916	9	6.888
1916	10	6.997
1916	11	7.024
1916	12	6.951
1917	1	6.839
1917	2	6.875
1917	3	6.961
1917	4	6.906
1917	5	6.923
1917	6	6.96
1917	7	6.934
1917	8	6.987
1917	9	6.992
1917	10	6.972
1917	11	6.948
1917	12	6.793
1918	1	6.936
1918	2	6.978
1918	3	6.873
1918	4	6.884
1918	5	6.902
1918	6	6.957
1918	7	6.983
1918	8	6.957
1918	9	7.056
1918	10	6.939
1918	11	6.93
1918	12	6.988
1919	1	6.921
1919	2	6.942
1919	3	6.937
1919	4	6.97
1919	5	6.935
1919	6	6.997
1919	7	6.934
1919	8	6.996
1919	9	6.992
1919	10	6.85
1919	11	6.899
1919	12	6.988
1920	1	7.055
1920	2	7.051
1920	3	7.043
1920	4	7.031
1920	5	7.02
1920	6	6.966
1920	7	7.001
1920	8	6.929
1920	9	6.955
1920	10	6.893
1920	11	6.985
1920	12	6.954
1921	1	7.131
1921	2	6.887
1921	3	7.08
1921	4	6.909
1921	5	6.984
1921	6	6.933
1921	7	6.961
1921	8	6.96
1921	9	6.937
1921	10	6.957
1921	11	6.906
1921	12	7.04
1922	1	6.97
1922	2	7.027
1922	3	6.979
1922	4	6.952
1922	5	7.03
1922	6	7
1922	7	7.025
1922	8	6.972
1922	9	6.937
1922	10	6.884
1922	11	6.945
1922	12	7.021
1923	1	6.976
1923	2	7.051
1923	3	6.879
1923	4	6.97
1923	5	7.005
1923	6	6.963
1923	7	6.998
1923	8	7.015
1923	9	7.007
1923	10	7.1
1923	11	6.982
1923	12	6.906
1924	1	6.988
1924	2	6.939
1924	3	6.973
1924	4	6.97
1924	5	7.03
1924	6	6.969
1924	7	7.032
1924	8	7.03
1924	9	7.062
1924	10	7
1924	11	6.942
1924	12	7.122
1925	1	7.067
1925	2	7.07
1925	3	6.891
1925	4	7.025
1925	5	7.045
1925	6	6.963
1925	7	6.946
1925	8	7.002
1925	9	6.983
1925	10	6.985
1925	11	6.933
1925	12	7.049
1926	1	7.028
1926	2	7.067
1926	3	7.001
1926	4	7.025
1926	5	7.023
1926	6	7.018
1926	7	6.974
1926	8	7.018
1926	9	6.986
1926	10	6.966
1926	11	7.058
1926	12	6.872
1927	1	7.013
1927	2	6.939
1927	3	7.04
1927	4	7.025
1927	5	6.953
1927	6	7.039
1927	7	6.983
1927	8	7.03
1927	9	7.022
1927	10	6.981
1927	11	7.006
1927	12	6.906
1928	1	7.074
1928	2	7.024
1928	3	6.982
1928	4	7.034
1928	5	6.932
1928	6	7.061
1928	7	7.044
1928	8	7.036
1928	9	6.989
1928	10	7.024
1928	11	7.064
1928	12	6.939
1929	1	6.827
1929	2	6.893
1929	3	6.952
1929	4	6.948
1929	5	6.999
1929	6	7.03
1929	7	7.016
1929	8	7.012
1929	9	7.016
1929	10	7.033
1929	11	7.052
1929	12	7.122
1930	1	7.128
1930	2	6.859
1930	3	6.982
1930	4	6.961
1930	5	6.993
1930	6	7.006
1930	7	7.028
1930	8	7.042
1930	9	6.977
1930	10	7.085
1930	11	7.067
1930	12	6.967
1931	1	6.945
1931	2	6.913
1931	3	6.924
1931	4	6.984
1931	5	7.026
1931	6	7.02
1931	7	7.077
1931	8	6.947
1931	9	6.882
1931	10	6.993
1931	11	7.036
1931	12	6.966
1932	1	7.1
1932	2	6.831
1932	3	6.997
1932	4	7.039
1932	5	7.011
1932	6	6.959
1932	7	7.025
1932	8	6.953
1932	9	7.01
1932	10	7.042
1932	11	6.954
1932	12	7.018
1933	1	6.975
1933	2	6.959
1933	3	7.04
1933	4	6.981
1933	5	6.977
1933	6	6.966
1933	7	7.013
1933	8	6.999
1933	9	6.918
1933	10	6.972
1933	11	6.917
1933	12	6.862
1934	1	7.018
1934	2	7.036
1934	3	6.979
1934	4	6.988
1934	5	7.017
1934	6	6.92
1934	7	6.949
1934	8	7.023
1934	9	7.034
1934	10	7.024
1934	11	6.911
1934	12	7.051
1935	1	6.881
1935	2	7.087
1935	3	6.927
1935	4	7.012
1935	5	6.88
1935	6	7.008
1935	7	6.973
1935	8	6.962
1935	9	7.052
1935	10	7.045
1935	11	7.054
1935	12	6.945
1936	1	7.067
1936	2	7.02
1936	3	6.948
1936	4	7.247
1936	5	6.892
1936	6	6.969
1936	7	7.037
1936	8	6.968
1936	9	6.909
1936	10	7.188
1936	11	6.935
1936	12	7.03
1937	1	7.061
1937	2	7.118
1937	3	6.945
1937	4	6.994
1937	5	6.977
1937	6	6.981
1937	7	6.997
1937	8	6.935
1937	9	7.031
1937	10	6.902
1937	11	6.963
1937	12	6.923
1938	1	7.064
1938	2	6.85
1938	3	7.089
1938	4	6.908
1938	5	7.005
1938	6	7.042
1938	7	6.973
1938	8	6.92
1938	9	6.946
1938	10	7.054
1938	11	7.115
1938	12	6.966
1939	1	6.982
1939	2	7.048
1939	3	6.939
1939	4	7.033
1939	5	6.922
1939	6	6.956
1939	7	7.022
1939	8	6.932
1939	9	6.93
1939	10	6.883
1939	11	7.051
1939	12	6.893
1940	1	6.881
1940	2	6.996
1940	3	7.04
1940	4	6.963
1940	5	6.983
1940	6	6.956
1940	7	6.994
1940	8	6.981
1940	9	6.982
1940	10	6.935
1940	11	7.048
1940	12	6.865
1941	1	6.829
1941	2	6.953
1941	3	6.89
1941	4	6.884
1941	5	7.02
1941	6	6.929
1941	7	6.985
1941	8	7.029
1941	9	6.891
1941	10	6.957
1941	11	6.908
1941	12	6.997
1942	1	6.914
1942	2	6.834
1942	3	6.951
1942	4	7.003
1942	5	7.035
1942	6	6.956
1942	7	6.994
1942	8	7.014
1942	9	7.08
1942	10	7.103
1942	11	6.96
1942	12	7.131
1943	1	7.046
1943	2	7.069
1943	3	7.009
1943	4	7.116
1943	5	7.017
1943	6	6.993
1943	7	6.985
1943	8	7.054
1943	9	7.013
1943	10	7.054
1943	11	6.902
1943	12	6.85
1944	1	7.052
1944	2	6.998
1944	3	6.933
1944	4	6.985
1944	5	6.956
1944	6	7.033
1944	7	6.997
1944	8	6.968
1944	9	6.958
1944	10	6.947
1944	11	7.012
1944	12	6.939
1945	1	6.89
1945	2	7.054
1945	3	6.97
1945	4	7.036
1945	5	7.066
1945	6	7.057
1945	7	6.991
1945	8	6.974
1945	9	6.976
1945	10	6.978
1945	11	6.99
1945	12	7.051
1946	1	7.073
1946	2	7.051
1946	3	7.046
1946	4	7.039
1946	5	6.947
1946	6	7.106
1946	7	7.037
1946	8	7.038
1946	9	7.052
1946	10	6.911
1946	11	6.993
1946	12	6.926
1947	1	6.927
1947	2	6.999
1947	3	7.07
1947	4	7.134
1947	5	6.959
1947	6	7.06
1947	7	7.037
1947	8	6.938
1947	9	7.052
1947	10	6.963
1947	11	7.07
1947	12	6.85
1948	1	6.994
1948	2	6.956
1948	3	7.001
1948	4	6.969
1948	5	6.992
1948	6	7.069
1948	7	7.037
1948	8	7.051
1948	9	7.002
1948	10	7.054
1948	11	6.981
1948	12	7.106
1949	1	7.058
1949	2	7.095
1949	3	6.924
1949	4	7.14
1949	5	7.014
1949	6	6.972
1949	7	6.958
1949	8	7.066
1949	9	7.002
1949	10	7.17
1949	11	7.091
1949	12	7.124
1950	1	7.073
1950	2	7.264
1950	3	7.204
1950	4	7.146
1950	5	7.026
1950	6	7.124
1950	7	7.058
1950	8	7.023
1950	9	7.122
1950	10	7.03
1950	11	7.045
1950	12	6.932
1951	1	6.905
1951	2	6.978
1951	3	7
1951	4	7.042
1951	5	6.928
1951	6	6.95
1951	7	6.952
1951	8	6.981
1951	9	6.976
1951	10	6.896
1951	11	7.06
1951	12	7.003
1952	1	7.018
1952	2	6.944
1952	3	6.948
1952	4	7.021
1952	5	7.017
1952	6	7.042
1952	7	6.958
1952	8	7.008
1952	9	7.058
1952	10	7.027
1952	11	6.893
1952	12	6.954
1953	1	6.921
1953	2	6.938
1953	3	6.921
1953	4	7.006
1953	5	7.011
1953	6	6.981
1953	7	7.037
1953	8	7.029
1953	9	7.037
1953	10	6.987
1953	11	7.051
1953	12	7.015
1954	1	6.893
1954	2	6.911
1954	3	7.049
1954	4	6.951
1954	5	6.996
1954	6	7.072
1954	7	7.098
1954	8	7.075
1954	9	7.104
1954	10	7.045
1954	11	7.027
1954	12	7.06
1955	1	7.009
1955	2	6.966
1955	3	6.93
1955	4	6.975
1955	5	7.02
1955	6	6.972
1955	7	6.955
1955	8	6.935
1955	9	7.089
1955	10	7.024
1955	11	7.03
1955	12	7.134
1956	1	7.03
1956	2	6.853
1956	3	6.979
1956	4	6.975
1956	5	7.023
1956	6	6.975
1956	7	6.967
1956	8	7.038
1956	9	7.025
1956	10	7.021
1956	11	6.948
1956	12	7.045
1957	1	7.076
1957	2	7.103
1957	3	7.089
1957	4	6.92
1957	5	6.983
1957	6	6.978
1957	7	7.016
1957	8	6.999
1957	9	7.022
1957	10	7.036
1957	11	6.938
1957	12	7.048
1958	1	7
1958	2	7.042
1958	3	6.869
1958	4	6.951
1958	5	7.014
1958	6	6.969
1958	7	7.004
1958	8	7.045
1958	9	7.019
1958	10	7.014
1958	11	6.899
1958	12	7.082
1959	1	6.997
1959	2	6.941
1959	3	7.064
1959	4	7.091
1959	5	6.944
1959	6	7.02
1959	7	7.01
1959	8	6.974
1959	9	6.964
1959	10	7.008
1959	11	7.009
1959	12	7.057
1960	1	6.994
1960	2	7.039
1960	3	6.961
1960	4	7.039
1960	5	7.02
1960	6	7.036
1960	7	7.068
1960	8	7.042
1960	9	6.982
1960	10	7.06
1960	11	7.127
1960	12	6.993
1961	1	6.982
1961	2	7.097
1961	3	7.122
1961	4	7.106
1961	5	7.069
1961	6	7.078
1961	7	7.022
1961	8	7.035
1961	9	7.064
1961	10	7.054
1961	11	7.012
1961	12	7.012
1962	1	7.052
1962	2	6.883
1962	3	6.973
1962	4	6.951
1962	5	6.965
1962	6	7.014
1962	7	7.019
1962	8	7.096
1962	9	7.067
1962	10	7.024
1962	11	6.932
1962	12	6.929
1963	1	6.812
1963	2	6.911
1963	3	7.013
1963	4	6.982
1963	5	6.984
1963	6	6.994
1963	7	6.971
